,user_id,fl_approved
91,017216de-a181-4c2e-9220-2b8c67b10ad6,0
92,0178663d-fde5-40e7-84f2-fa135d4d2f8f,1
93,01795bff-b31c-4cf6-81ed-51f456f4cee1,1
94,017a72fc-212d-4716-8828-80b8bb8473b2,0
95,017e1514-497e-4095-87f7-3cd4dad0d92c,1
96,017e3708-5ffe-4d2f-ab5b-686389548efa,1
97,017e663d-a236-40d7-8743-de2aaa68d317,1
98,017f5b9e-f159-44d6-b803-2bec5683ffc3,1
99,01815808-194f-4e40-88ba-feac5d7ff033,1
100,018311d1-b203-4267-a954-4eaee3c18990,1
101,01859045-f4d5-4672-8adb-69e2ace5fe7b,1
102,0185b465-db4b-43c7-99f9-be7449cdf97a,1
103,0186ca53-0410-4270-b404-ff098c5fd5cd,1
104,01882d60-ae0e-4294-b1eb-863e570ba6d0,0
105,01887a1e-e732-4242-9c3f-e8be9004d008,1
106,01967550-b6b8-48e4-867a-c57b8bd96ae0,1
107,019b1489-8323-4bb8-91fa-a823b82349e4,1
108,01a2a7a7-d975-42a9-91ff-7ebf5c14f91f,1
109,01a62825-683c-4f29-a217-15f62d59048c,1
110,01a98adf-cae8-44b1-a3af-3c4ee6c6f868,1
111,01abc51a-7896-41ad-83ad-7eabeed7fab4,0
112,01ade440-0756-4927-b571-cf9477357124,0
113,01b835ec-92fb-4a2b-a325-5dd2903cbbeb,1
114,01bb3d39-88d6-4e8b-b254-2713b97dfc3a,1
115,01c3cd57-3f98-4d57-a1db-63dadbeee3f1,0
116,01c467e8-bf81-4469-b0d6-011e92d9b2fc,1
117,01c9ff9b-c0d1-491a-871f-3cc5dd06360a,1
118,01ca36c1-a5f8-4956-a93e-41e13da838f1,1
119,01d02df8-90d9-41a2-bae2-d9a14a42fb6a,0
120,01dc0607-4514-4a5a-8b86-96babaaeac3b,1
121,01de3ede-3e3c-495d-a40d-bd0889644d85,1
122,01e2b71e-fe3c-434b-815e-48900f668d1c,0
123,01e3ebae-2d30-495e-94b2-6c41bddcec9a,1
124,01e701fd-8ba9-472e-97cb-14f0528c0fd8,1
125,01ee5527-7246-4284-bdd9-217bce3215c5,0
126,01f82c98-52cf-43d9-9b30-a5274072549e,1
127,01fa5650-cd92-4550-84ff-7c20f79710f7,0
128,0205e424-fb81-4bad-903d-e9e2dde9dfd9,1
129,02083a6d-5844-46c4-a529-d930249f0c28,0
130,020ce970-b0a4-4e8f-af37-ce592c0ee446,1
131,0210e27f-10e8-4843-9885-47f52a2bb3f2,1
132,021c2e76-8eb5-45b7-ba93-9563e6eeadb0,1
133,021f3463-c067-4229-a4ea-250776b46684,1
134,021f6fa8-ffeb-4824-9fc6-10a32d9d8319,1
135,02217553-6673-44f8-b85c-2cdbbb189489,1
136,022324b1-4de8-4355-b74d-09e9bc332853,1
137,0223c893-37e0-4280-9367-b02aea45f4c5,1
138,02249bcc-546e-4559-887d-bb3012f7d52e,0
139,02259a79-8703-400d-90b0-b7af565d4be7,1
140,0226e5f7-5d0c-4f92-877c-a9fe91eec54b,0
141,0226fbe3-ecab-4cee-b719-839d3d4aaf87,1
142,02282c36-08d9-4c36-a029-40d168e82ee0,0
143,02352729-c7b2-4f9b-99f4-5eb6e0454d64,1
144,0235bae8-fdba-49bc-a476-8042749be43a,0
145,024c0c33-3463-4dfc-aaf5-78e480af69e5,1
146,024c5f51-91e7-41d0-89b2-6621f5eb9905,1
147,024fb2b5-50ca-42db-966f-962a2e3389b9,1
148,0252113b-434f-4622-97f7-59c469cf7c92,1
149,0254621f-9378-4cf4-a8b6-a73d547b6856,1
150,02572ef1-3e95-4e74-a45f-da97a857fdaf,1
151,0258f961-43cd-48a6-a73e-bb6069e8fec5,0
152,025ea548-2d48-46e0-8b59-c1d3f1f27183,1
153,025fca50-713d-4b69-82e8-9145766c0f35,1
154,0262949e-1084-4e5b-a263-1d56af9b30c3,1
155,0267d7d1-d931-4ed4-8321-fdc92b30ff04,0
156,0269b4e6-6d29-4ebc-9e43-4b8067830900,1
157,02723c58-39b0-480d-8d4e-8f2ac63cc9e2,0
158,02731724-a3eb-4540-a2f6-a20720222aca,1
159,0273f605-980e-4c33-a981-5b6c1ce7cf18,0
160,02835d43-7695-459a-afd8-7fca96782543,1
161,0285fcd3-7c9c-4a3b-9227-7253d351f27d,1
162,028792b6-8210-43fa-9776-ffd70a4a1a4f,0
163,028a67cc-735a-4815-95d9-62abbec4fcaa,1
164,028cc498-a7b1-46c2-aaca-f61eff68e024,1
165,0291fec4-0264-4c9b-b7a9-87b42100ecfb,1
166,0294ece8-008c-4ecc-881f-4e65013c8ca5,1
167,029aabba-3a04-4a8d-980c-f6d838420999,1
168,02a1f64b-9bcc-4b39-bb00-2dbca37b2f49,1
169,02a72e99-6818-4b24-b9de-05ab1b2be5eb,1
170,02ac8dc1-db23-4573-b2b8-a02a07a979dd,1
171,02bc09b9-8f1a-4e26-ae28-24824ec513bc,1
172,02be42fb-04af-4ca5-9d85-f0eaf071d312,1
173,02c1c0cc-eb9b-475c-9ab5-a71cf1e8edf8,0
174,02c25b9f-6132-4f40-b01d-bde628c5ccaf,1
175,02c599c7-71f5-4d49-a489-4c76c0b1c9f3,0
176,02d69a45-5ece-484e-b98e-477964451ab4,1
177,02d6f60c-1898-44ff-bd18-eda915a4bba2,1
178,02d7e09e-cb4c-4f95-af78-f323938ef3de,1
179,02da709f-690a-45ba-bc16-08d64e0fefb7,1
180,02dc01aa-654f-4e55-b3fa-88054ae2a369,1
181,02dc3b06-04e6-42ac-b75f-68ead78a83c5,1
182,02dcba15-58f4-4a9b-a256-0ccdb9e9be2e,1
183,02dfed7b-db24-44f4-afbc-26ef38e84fd1,1
184,02e41baa-b701-400c-87cf-13cf5036fa94,1
185,02ed1074-75a8-4c1d-beb4-b5a2c1246c00,1
186,02eecf6e-a666-4535-996f-72fceabe3888,1
187,02efe1d3-2afe-4dbd-a126-0048142f1635,1
188,02f499a7-6470-4698-b076-58851e550967,1
189,02f5b9d8-7530-4e0b-b675-fac6df60d275,1
190,03067728-37bd-404d-8f1c-a7a4b2a34a80,0
191,030bb2fd-8938-4832-9a45-7ce01cb4db19,1
192,03186e3a-539e-4f9a-bb2c-44d0f56e71a0,1
193,031c77cb-15ae-4ba5-ad29-2a37519bd24a,1
194,031c988b-9fb3-4c6c-ab34-929268d7b0e5,0
195,03219681-28e2-4fd8-b253-381749816363,1
196,03245dd2-9bce-435e-9905-11d3d5293f6b,1
197,03263986-f52e-4dc4-8085-46c2c07443e6,1
198,03357f26-bf66-440e-8ca8-efcbcdacb3be,1
199,033a1f18-5b4e-48d3-99e8-232773fc8028,0
200,033a8820-56b6-4514-832b-7049c9e078f6,1
201,033c022f-6cc5-4ba2-95e6-6540305b709f,1
202,033cb9e8-bb2f-4267-b7b1-d2293effa2b0,0
203,033e538a-8752-4e7b-9c36-5ad2b6f29d64,1
204,034b58b5-673c-466f-949c-1ff72523ca74,0
205,034e0be6-ed5c-4db0-a6ce-a5d52fa185c5,1
206,03578e9b-4771-4ba8-ad8f-3d14f5076589,1
207,0364750a-f8ba-4fde-91dc-79720e0004f4,1
208,03682250-e6f3-4cb8-9a3c-01293028b040,1
